iter	Passed	Remaining
411	3400	4852
412	3406	4841
413	3413	4830
414	3420	4821
415	3428	4812
416	3435	4803
417	3441	4792
418	3449	4782
419	3455	4772
420	3462	4761
421	3470	4753
422	3476	4742
423	3484	4733
424	3490	4722
425	3496	4711
426	3504	4702
427	3510	4691
428	3517	4681
429	3524	4671
430	3531	4662
431	3537	4651
432	3543	4640
433	3551	4631
434	3557	4620
435	3566	4613
436	3572	4602
437	3580	4593
438	3586	4583
439	3593	4572
440	3600	4564
441	3606	4553
442	3614	4544
443	3620	4533
444	3627	4523
445	3634	4514
446	3641	4504
447	3648	4495
448	3654	4484
449	3661	4475
450	3668	4465
451	3689	4473
452	3697	4464
453	3703	4453
454	3709	4443
455	3716	4433
456	3722	4423
457	3730	4414
458	3736	4404
459	3743	4394
460	3750	4384
461	3756	4374
462	3763	4365
463	3770	4355
464	3777	4346
465	3784	4336
466	3790	4325
467	3797	4316
468	3803	4306
469	3812	4299
470	3819	4289
471	3827	4281
472	3833	4271
473	3841	4262
474	3849	4254
475	3855	4244
476	3863	4236
477	3870	4226
478	3878	4218
479	3885	4209
480	3892	4200
481	3899	4191
482	3906	4181
483	3914	4173
484	3921	4164
485	3929	4155
486	3936	4146
487	3944	4138
488	3952	4130
489	3961	4123
490	3969	4115
491	3979	4108
492	3987	4100
493	3996	4093
494	4003	4084
495	4011	4076
496	4018	4066
497	4027	4060
498	4034	4050
499	4042	4042
500	4048	4032
501	4056	4024
502	4063	4014
503	4069	4004
504	4077	3997
505	4084	3987
506	4093	3980
507	4099	3970
508	4107	3962
509	4114	3953
510	4122	3944
511	4128	3935
512	4136	3926
513	4143	3917
514	4149	3907
515	4157	3899
516	4163	3889
517	4170	3881
518	4177	3871
519	4184	3862
520	4192	3854
521	4199	3845
522	4208	3837
523	4214	3828
524	4223	3821
525	4230	3812
526	4237	3803
527	4244	3794
528	4250	3784
529	4258	3775
530	4264	3766
531	4271	3757
532	4278	3748
533	4285	3739
534	4291	3730
535	4298	3720
536	4305	3712
537	4312	3703
538	4319	3694
539	4326	3685
540	4332	3675
541	4339	3667
542	4345	3657
543	4353	3649
544	4359	3639
545	4365	3630
546	4374	3622
547	4381	3613
548	4388	3605
549	4394	3595
550	4402	3587
551	4409	3578
552	4416	3570
553	4423	3560
554	4429	3551
555	4437	3543
556	4443	3534
557	4451	3525
558	4457	3516
559	4465	3508
560	4472	3499
561	4480	3491
562	4489	3484
563	4498	3477
564	4507	3470
565	4515	3462
566	4523	3454
567	4531	3446
568	4538	3437
569	4544	3428
570	4551	3419
571	4557	3410
572	4565	3401
